Outcome,N_selected,R2_insample,R2_cv,Alpha
X,43,0.13534554146443167,0.0778265447016607,0.008444448350219758
AI,42,0.36603151010875756,0.32372629702315053,0.006974634313259821
HU,46,0.23295417625592973,0.19412647066113486,0.00829520752913907
