Outcome,N_selected,R2_insample,R2_cv,Alpha
X,152,0.2684950256047657,0.09259634504342384,0.012029150064279742
AI,115,0.4170078260914315,0.30772902137339087,0.016112214800333667
HU,123,0.33209723269865177,0.21426389948687782,0.014496540304130046
